name,img_url,age,height,weight,nationality
Edy Tavares,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Tavares_Edy_cle17.jpg,31,7-3,265,Cape Verde
Vincent Poirier,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Poirier_Vincent_phi20.jpg,30,7-0,235,France
Martynas Sajus,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,27,6-8,247,Lithuania
Ben Lammers,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Lammers_Ben_gt.jpg,28,6-10,234,United States
Jan Vesely,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Vesely_Jan_was_1314.jpg,33,6-11,240,Czech Republic
Tyler Cook,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Cook_Tyler_chi21.jpg,26,6-8,255,United States
Tryggvi Hlinason,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Hlinason_Tryggvi_18.jpg,26,7-1,260,Iceland
Felipe Dos,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Dosanjos_Felipe_18.jpg,25,7-2,230,Brazil
Martin Geben,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Geben_Martinas_und.jpg,29,6-10,252,Lithuania
Dusan Ristic,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Ristic_Dusan_euro.jpg,28,7-0,245,Serbia
Maik Kotsar,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Kostar_Malik_socar.jpg,27,6-11,270,Estonia
Marek Blazevic,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Blazevic_Marek_22w.jpg,22,6-11,240,Lithuania
Matt Haarms,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Haarms_Matt_pur17.jpg,26,7-3,250,Netherlands
Dejan Kravic,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Kravic_Dejan_ncaatxt.jpg,33,7-0,240,Canada/Serbia
Yankuba Sima,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/Sima_Yankuba_stj.jpg,27,6-11,225,Spain
Evaldas Kairys,https://basketball.realgm.com//images/nba/4.2/profiles/photos/2006/player_photo.jpg,33,6-8,231,Lithuania
